"ID","SchulNr","Name","SchulformNr","SchulformKrz","SchulformBez","Strassenname","HausNr","HausNrZusatz","PLZ","Ort","Telefon","Fax","Email","Schulleiter","Sortierung","Sichtbar","Aenderbar","SchulNr_SIM","Kuerzel","KurzBez"
1,"195297",Privates Berufskolleg - Sek.II - mit sonderpädagogischen Förderklassen der Kolping Schulwerk gGmbH,"30",BK,Berufskolleg,Osningstr.,"11-13","","33332",Gütersloh,"05241-2101490","05241-21014910",,,32000,+,+,"195297",,"Gütersloh, BK Osningstr."
2,"174518",Heinrich-Hertz-Europakolleg der Bundesstadt Bonn Berufskolleg mit beruflichem Gymnasium,"30",BK,Berufskolleg,Herseler Str.,"1","","53117",Bonn,"0228-777000","0228-777010",,,32000,+,+,"174518",,"Bonn, BK Heinrich-Hertz-Europakolleg"
3,"172972",Maria-Lenssen-Berufskolleg Schule der Sekundarstufe II ,"30",BK,Berufskolleg,Werner-Gilles-Str.,"20-32","","41236",Mönchengladbach,"02166-628770","02166-6287799",,,32000,+,+,"172972",,"Mönchengladbach, BK Maria-Lenssen"
4,"178159",Kaufmännische Schulen Tecklenburger Land des Kreises Steinfurt Berufskolleg mit Wirtschaftsgymnasium,"30",BK,Berufskolleg,Wilhelmstr.,"4-6","","49477",Ibbenbüren,"05451-50920","05451-5092200",,,32000,+,+,"178159",,"Ibbenbüren, BK Tecklenburger Land Kaufm."
5,"173599",Berufskolleg Bleibergquelle Priv. Schule der Sekundarstufe II und Fachschule für Sozialpädagogik,"30",BK,Berufskolleg,Bleibergstraße,"145","","42551",Velbert,"02051-417410","02051-417436",,,32000,+,+,"173599",,"Velbert, BK Bleibergquelle"
6,"177301",Hildegardisschule Berufskolleg des Bistums Münster - Sekundarstufe II -,"30",BK,Berufskolleg,Neubrückenstraße,"17","","48143",Münster,"0251-41730",-,,,32000,+,+,"177301",,"Münster, BK Hildegardisschule"
7,"192843",Berufskolleg der AWO Fachschule für Sozialpädagogik ,"30",BK,Berufskolleg,Detmolder Str.,"280","","33605",Bielefeld,"0521-9216311","0521-9216322",,,32000,+,+,"192843",,"Bielefeld, BK der AWO"
8,"178093",Josef-Pieper-Schule Bischöfliches Berufskolleg Rheine Fachschule f. Sozial- u.Gesundheitswesen,"30",BK,Berufskolleg,Salinenstr.,"109","","48432",Rheine,"05971-55241","05971-50231",,,32000,+,+,"178093",,"Rheine, BK Josef-Pieper-Schule"
9,"180531","St.-Franziskus-Berufskolleg Berufskolleg u. Berufl. Gymnasium des Erzbistums Paderborn, - Sekundarst","30",BK,Berufskolleg,Franziskanerstraße,"2",a,"59065",Hamm,"02381-25281","02381-25651",,,32000,+,+,"180531",,"Hamm, BK Franziskus"
10,"177696",Liebfrauenschule Coesfeld Berufskolleg des Bistums Münster Schule der Sekundarstufe II u.Fachschule,"30",BK,Berufskolleg,Kuchenstr.,"18","","48653",Coesfeld,"02541-941710","02541-941750",,,32000,+,+,"177696",,"Coesfeld, BK Liebfrauenschule"
11,"173708",Berufskolleg des Kreises Kleve in Geldern ,"30",BK,Berufskolleg,Am Nierspark,"35","","47608",Geldern,"02831-92300","02831-923055",,,32000,+,+,"173708",,"Geldern, BK Am Nierspark"
12,"185620",Höhere Fachschule für Augenoptik - Berufskolleg - ,"30",BK,Berufskolleg,Bayenthalgürtel,"6-8","","50968",Köln,"0221-382851","0221-341428",,,32000,+,+,"185620",,"Köln, BK Höhere Fachschule f.Augenoptik"
13,"195753","Berufskolleg Malche-Fachsch. für Sozial- pädagogik,Staatl.anerk.Ersatzsch. Sek.II in fr.Trägersch.d.","30",BK,Berufskolleg,Portastr.,"8","","32457",Porta Westfalica,"0571-6453-0","0571-6453119",,,32000,+,+,"195753",,"Porta Westfalica, BK Malche"
14,"187549",Berufskolleg f. Wirtschaft u. Verwaltung der Städteregion Aachen - Sekundarstufe II -,"30",BK,Berufskolleg,Bardenberger Straße,"72","","52134",Herzogenrath,"02406-99910","02406-999110",,,32000,+,+,"187549",,"Herzogenrath,BK Wirtschaft u. Verwaltung"
15,"194359",Freie Waldorfschule Neuenrade Ersatzsch.eigener Art f.Jungen u.Mädchen d.Trägerver.d.Waldorfschule L,"17",FW,Freie Waldorfschule,Remmelshagen,"1-5","","58809",Neuenrade,"02392-913667","02392-913666",,,32000,+,+,"194359",,"Neuenrade, FW Remmelshagen"
16,"188580",Rudolf-Steiner-Schule Hagen Priv. Schule eigener Art für Jungen und Mädchen,"17",FW,Freie Waldorfschule,Enneper Straße,"30","","58135",Hagen,"02331-403901","02331-407619",,,32000,+,+,"188580",,"Hagen, FW Rudolf-Steiner-Schule"
17,"133449",Deilinghofenerschule Gem. Grundschule der Stadt Hemer ,"02",G,Grundschule,Brockhauser Weg,"30","","58675",Hemer,"02372-964944","02372-964946",,,32000,+,+,"133449",,"Hemer, GG Deilinghofenerschule"
18,"100158",Städtische Katholische Grundschule Primarstufe mit Montessorizweig ,"02",G,Grundschule,Josef-Kleesattel-Straße,"13","","40595",Düsseldorf,"0211-7393600","0211-7393601",kg.josefkleesattelstr@stadt.duesseldorf.,,32000,+,+,"100158",,"Düsseldorf, KG Josef-Kleesattel-Str."
19,"118552",Erich-Kästner-Grundschule Gemeinschaftsgrundschule d.Stadt Wegberg ,"02",G,Grundschule,Echter Straße,"23","","41844",Wegberg,"02434-979970","02434-9799717",,,32000,+,+,"118552",,"Wegberg, GG (Verb.) Erich-Kästner"
20,"120418",Brigidenschule Kath. Grundschule ,"02",G,Grundschule,Wibbeltstr.,"27","","48739",Legden,"02566-807",-,,,32000,+,+,"120418",,"Legden, KG (Verb-) Brigiden"
21,"130862",Overbergschule Städt. Gem. Grundschule ,"02",G,Grundschule,Weißenburger Str.,"27","","44532",Lünen,"02306-42339","02306-943330",,,32000,+,+,"130862",,"Lünen, GG (Verb.) Overbergschule"
22,"105181",Schule im Burgbongert Gem. Grundschule - Primarstufe -,"02",G,Grundschule,Burgbongert,"15-17","","41199",Mönchengladbach,"02166-602976","02166-606761",,,32000,+,+,"105181",,"Mönchengladbach,GG Schule im Burgbongert"
23,"116701",Gem. Grundschule II  ,"02",G,Grundschule,Grengracht,"12","","52499",Baesweiler,"02401-7819","02401-7854",,,32000,+,+,"116701",,"Baesweiler, GG (Verb.) Grengracht"
24,"129768",Uhlandschule Städt. Gem. Grundschule - Primarstufe -,"02",G,Grundschule,Heilbronner Str.,"4","","44143",Dortmund,"0231-28673730","0231-28673737",,,32000,+,+,"129768",,"Dortmund, GG Uhlandschule"
25,"120327",St. Norbert-Schule Kath. Grundschule ,"02",G,Grundschule,Butenwall,"78","","48691",Vreden,"02564-303400","02564-303411",,,32000,+,+,"120327",,"Vreden, KG St. Norbert-Schule"
26,"187811",Grundschulverbund Am Wiehengebirge Gem. Grundschule d. Gemeinde Hüllhorst - Primarstufe -,"02",G,Grundschule,Tengerner Str.,"6","","32609",Hüllhorst,"05744-920213","05744-920215",,,32000,+,+,"187811",,"Hüllhorst, GG (Verb.) Am Wiehengebirge"
27,"125520",Städt. Gem. Grundschule  ,"02",G,Grundschule,Poststr.,"17","","32130",Enger,"05224-2049","05224-978827",,,32000,+,+,"125520",,"Enger, GG Poststr."
28,"192715",Städt. Gem. Grundschule Heidewald  ,"02",G,Grundschule,Alte Heidewaldstraße,"1","","33332",Gütersloh,"05241-5052360","05241-50523631",,,32000,+,+,"192715",,"Gütersloh, GG Heidewald"
29,"131040",Michaelschule Städt. Gemeinschaftsgrundschule ,"02",G,Grundschule,Michaelstr.,"16","","44649",Herne,"02325-50755","02325-569113",,,32000,+,+,"131040",,"Herne, GG Michaelschule"
30,"113177",Grundschulverbund Erft-Swist Städtische Gemeinschaftsgrundschule ,"02",G,Grundschule,Anton-Schell-Str.,"30","","53919",Weilerswist,"02254-969151","02254-8309828",,,32000,+,+,"113177",,"Weilerswist, GG (Verb.) Erft-Swist"
31,"108030",Andreas-Schule Städt. Gemeinschaftsgrundschule - Primarstufe -,"02",G,Grundschule,Pescher Straße,"127","","41352",Korschenbroich,"02161-648668","02161-648415",,,32000,+,+,"108030",,"Korschenbroich, GG (Verb.)Andreas-Schule"
32,"106203",Bruchschule Städt. Gem. Grundschule ,"02",G,Grundschule,Hedwigstraße,"122","","46537",Dinslaken,"02064-52425","02064-770530",,,32000,+,+,"106203",,"Dinslaken, GG Bruchschule"
33,"110759",Carl-Schurz-Schule Städt. Gem. Grundschule ,"02",G,Grundschule,Hirschberger Straße,"1","","53119",Bonn,"0228-777120","0228-777125",,,32000,+,+,"110759",,"Bonn, GG Carl-Schurz-Schule"
